ID,Feature,Status,BackendFiles,FrontendFiles,RepresentativeCommits,GapNotes
1,Login,Partial,"backend-api/src/modules/auth/auth.routes.js | backend-api/src/modules/auth/auth.controller.js | backend-api/src/modules/auth/auth.service.js | backend-api/src/utils/token.util.js","frontend-web/src/pages/auth/LoginPage.jsx | frontend-web/src/utils/authStorage.js","525c8f3 | 2e1e963 | 4d073f5 | 99ca7c5","Web FE chua dung React Hook Form + Zod; web FE khong dung Zustand"
2,RefreshToken,Done,"backend-api/src/modules/auth/auth.controller.js | backend-api/src/modules/auth/auth.service.js","frontend-web/src/services/axiosClient.js | mobile-app/src/services/axiosClient.js","525c8f3 | 4d073f5 | 99ca7c5",""
3,ResetPassword,Partial,"backend-api/src/modules/auth/auth.controller.js | backend-api/src/modules/auth/auth.service.js","frontend-web/src/pages/auth/ResetPasswordPage.jsx | mobile-app/src/screens/auth/ForgotPasswordScreen.js","525c8f3 | 99ca7c5","Chua thay dong ho dem nguoc resend OTP"
5,View actor,Done,"backend-api/src/modules/actors/actors.routes.js | backend-api/src/modules/actors/actors.service.js","frontend-web/src/pages/admin/ActorsManagementPage.jsx","2e1e963 | 6f74003 | 99ca7c5",""
6,Add/Update actor,Done,"backend-api/src/modules/actors/actors.service.js","frontend-web/src/pages/admin/ActorsManagementPage.jsx","2e1e963 | 6f74003 | 99ca7c5",""
38,Logout,Done,"backend-api/src/modules/auth/auth.controller.js | backend-api/src/modules/auth/auth.service.js","frontend-web/src/utils/authStorage.js | mobile-app/src/stores/useAuthStore.js","525c8f3 | 99ca7c5",""
42,Create Course Class,Partial,"backend-api/src/modules/classSection/classSection.routes.js | backend-api/src/modules/classSection/classSection.controller.js | backend-api/src/modules/classSection/classSection.service.js","frontend-web/src/pages/admin/ClassManagement.jsx","25ed27f | 0860512 | 286b086","CRUD da co nhung can xac minh them logic validate lecturer ton tai theo backlog"
43,View Class,Done,"backend-api/src/modules/classSection/classSection.service.js","frontend-web/src/pages/admin/ClassManagement.jsx","25ed27f | 99447c7 | 286b086",""
44,Update/Delete Class,Done,"backend-api/src/modules/classSection/classSection.service.js","frontend-web/src/pages/admin/ClassManagement.jsx","25ed27f | 42a5056 | 286b086","Delete co check enrollment dang hoat dong"
45,View Lecturer,Done,"backend-api/src/modules/lecturer/lecturer.routes.js | backend-api/src/modules/lecturer/lecturer.service.js","frontend-web/src/pages/admin/LecturerManagement.jsx","25ed27f | 42a5056",""
46,Create Lecturer,Done,"backend-api/src/modules/lecturer/lecturer.service.js","frontend-web/src/pages/admin/LecturerManagement.jsx","25ed27f | d5114b1 | 42a5056","Co tao User + Lecturer va hash mat khau mac dinh"
47,Update/Delete Lecturer,Partial,"backend-api/src/modules/lecturer/lecturer.service.js","frontend-web/src/pages/admin/LecturerManagement.jsx","25ed27f | 42a5056 | dcfab06","Delete hien tai theo huong deactivate/soft delete"
48,Search/Filter Lecturer,Done,"backend-api/src/modules/lecturer/lecturer.service.js","frontend-web/src/pages/admin/LecturerManagement.jsx","25ed27f | 42a5056 | dcfab06",""
92,Auto-Assign Students To Classes,Done,"backend-api/src/modules/autoEnrollment/autoEnrollment.routes.js | backend-api/src/modules/autoEnrollment/autoEnrollment.controller.js | backend-api/src/modules/autoEnrollment/autoEnrollment.service.js","frontend-web/src/pages/admin/AutoEnrollmentPage.jsx","99447c7 | 286b086 | c6ac229",""
93,Activate Automatic Enrollment,Done,"backend-api/src/modules/semester/semester.service.js","frontend-web/src/pages/admin/AutoEnrollmentPage.jsx","99447c7 | 286b086","Trigger khi semester isCurrent = true"
95,Limit Course Overload,Done,"backend-api/src/services/registration.service.js","frontend-web/src/pages/student/ClassRegistrationPage.jsx","99447c7 | 286b086",""
100,Check Course Prerequisites,Done,"backend-api/src/services/registration.service.js","frontend-web/src/pages/student/ClassRegistrationPage.jsx","99447c7 | 286b086",""
101,Verify Student Cohort Eligibility,Done,"backend-api/src/services/registration.service.js","frontend-web/src/pages/student/ClassRegistrationPage.jsx","99447c7 | 286b086",""
103,Check Maximum Credit Limit,Done,"backend-api/src/services/registration.service.js","frontend-web/src/pages/student/ClassRegistrationPage.jsx","99447c7 | 286b086",""
122,View Lecturer Timetable,Done,"backend-api/src/modules/lecturer/teachingSchedule.routes.js | backend-api/src/modules/lecturer/teachingSchedule.service.js","frontend-web/src/pages/admin/TeachingSchedulePage.jsx","42a5056 | 9dd2325",""
151,Home Mobile app,Done,"","mobile-app/src/screens/student/HomeScreen.js","321d13e | 4779015 | dcfab06",""
159,Export Student Data,Done,"backend-api/src/controllers/student.controller.js | backend-api/src/services/student.service.js","frontend-web/src/pages/admin/StudentManagementPage.jsx","4779015 | 286b086",""
160,View Admin Dashboard Analytics,Done,"backend-api/src/controllers/dashboard.controller.js | backend-api/src/services/dashboard.service.js","frontend-web/src/pages/admin/Dashboard.jsx","4779015 | 286b086",""
166,Feedback lecturer,Done,"","mobile-app/src/screens/student/FeedbackLecturerScreen.js | mobile-app/src/services/feedbackService.js","aa4e47f | d620a87 | cd8eb9e",""
167,View feedback lecturer,Done,"","mobile-app/src/screens/student/FeedbackLecturerScreen.js | mobile-app/src/services/feedbackService.js","aa4e47f | d620a87 | cd8eb9e",""
168,Update feedback lecturer,Done,"","mobile-app/src/screens/student/FeedbackLecturerScreen.js | mobile-app/src/services/feedbackService.js","aa4e47f | d620a87 | cd8eb9e | 99ca7c5",""
