ID,Feature,FrontendMainFile,FrontendMainFunctions,BackendMainFile,BackendMainFunctions,PrimaryCommit,QuickDefenseLine
1,View Weekly Timetable,"mobile-app/src/screens/student/ScheduleScreen.js | mobile-app/src/services/scheduleService.js","ScheduleScreen(); loadSchedule(); getMyWeekSchedule()","backend-api/src/controllers/schedule.controller.js | backend-api/src/services/schedule.service.js","getMyWeekSchedule()","6111ac7","Mo ScheduleScreen truoc; neu bi hoi sau thi xuong schedule controller/service."
2,Create Email Templates,"frontend-web/src/pages/admin/EmailTemplateManagementPage.jsx | frontend-web/src/services/emailTemplateService.js","EmailTemplateManagementPage(); handleSubmit() nhanh create; createEmailTemplate()","backend-api/src/controllers/emailTemplate.controller.js | backend-api/src/services/emailTemplate.service.js","createEmailTemplate(); createTemplate()","6111ac7","Feature tao template nam chung trong EmailTemplateManagementPage.jsx."
3,View Email Templates,"frontend-web/src/pages/admin/EmailTemplateManagementPage.jsx | frontend-web/src/services/emailTemplateService.js","loadTemplates(); loadTemplateDetail(); getEmailTemplate()","backend-api/src/controllers/emailTemplate.controller.js | backend-api/src/services/emailTemplate.service.js","getEmailTemplates(); getEmailTemplateById(); listTemplates(); getTemplateById()","6111ac7","Ba chuc nang Email Template cung mot page, khac nhau o ham chinh."
4,Update/Delete Email Templates,"frontend-web/src/pages/admin/EmailTemplateManagementPage.jsx | frontend-web/src/services/emailTemplateService.js","handleSubmit() nhanh update; handleDelete(); updateEmailTemplate(); deleteEmailTemplate()","backend-api/src/controllers/emailTemplate.controller.js | backend-api/src/services/emailTemplate.service.js","updateEmailTemplate(); deleteEmailTemplate(); updateTemplate(); deleteTemplate()","6111ac7","Update va delete nam cung page EmailTemplateManagementPage.jsx."
5,Submit Lecturer Evaluation,"frontend-web/src/components/features/LecturerFeedbackPortal.jsx | frontend-web/src/services/feedbackService.js | frontend-web/src/pages/student/StudentFeedbackPage.jsx","LecturerFeedbackPortal(); loadBaseData(); loadClassDetails(); handleSubmit(); submitFeedback()","backend-api/src/controllers/feedback.controller.js | backend-api/src/services/feedback.service.js","submitFeedback(); getFeedbackAvailability(); updateFeedback(); getFeedbackWindowInfo(); createFeedback()","6111ac7","Tren nhanh HuyHMSpring4 dau vet chinh nam o web feedback flow, khong phai mobile."
6,Track Class Performance,"frontend-web/src/components/features/ClassPerformanceDashboard.jsx | frontend-web/src/services/classPerformanceService.js | frontend-web/src/pages/admin/ClassPerformancePage.jsx | frontend-web/src/pages/lecturer/LecturerClassPerformancePage.jsx","ClassPerformanceDashboard(); loadClasses(); loadPerformance(); getAccessibleClasses(); getClassPerformance()","backend-api/src/controllers/attendance.controller.js | backend-api/src/services/attendance.service.js","getClasses(); getClassPerformance(); getTeachingClasses()","6111ac7","Mo dashboard truoc; neu bi hoi sau thi mo attendance controller/service."
11,SetupSocketIO(Tech),"frontend-web/src/contexts/SocketContext.jsx | frontend-web/src/main.jsx | mobile-app/src/contexts/SocketContext.js | mobile-app/App.js","SocketProvider(); useSocket()","backend-api/src/configs/socket.config.js | backend-api/src/middlewares/socket.middleware.js","initializeSocketIO(); socketAuthMiddleware()","b32e457","BE init Socket.IO + auth handshake; FE wrap SocketProvider o root app."
12,CloudinaryService (Tech),"Khong co","Khong co","backend-api/src/external/cloudinary.provider.js","uploadImage(); deleteImage(); uploadFile()","b32e457","Feature nay la BE-only wrapper cho Cloudinary SDK."
13,SeedMasterData (Tech),"Khong co","Khong co","backend-api/src/database/seeds/index.js | backend-api/src/database/seeds/seedSEK26Curriculum.js","seed(); seedCurriculums(); seedSubjects(); seedRooms(); seedDevices(); seedTeachers(); seedStudents()","b32e457","Neu bi hoi seed master data thi mo file seed tong truoc, sau do chi cac ham seed chinh."
17,Filter/sort,"frontend-web/src/pages/admin/SubjectManagement.jsx | frontend-web/src/services/subjectService.js","fetchSubjects(); applyFilters(); handleFilterApply(); getSubjects()","backend-api/src/controllers/subject.controller.js | backend-api/src/services/subject.service.js","getSubjects(); searchSubjects()","b32e457","Filter/sort mon hoc nam o SubjectManagement.jsx, FE goi subjectService.getSubjects()."
23,View ConfigureTuitionFees,"frontend-web/src/pages/admin/TuitionFeeManagement.jsx | frontend-web/src/services/tuitionFeeService.js","TuitionFeeManagement(); fetchAllCurriculums(); getTuitionFees()","backend-api/src/controllers/tuitionFee.controller.js | backend-api/src/services/tuitionFee.service.js","getTuitionFees()","b32e457","Requirement goc ghi settings/tuition; repo hien tai map vao module tuition-fees."
24,Add ConfigureTuitionFees,"frontend-web/src/pages/admin/TuitionFeeManagement.jsx | frontend-web/src/services/tuitionFeeService.js","TuitionFeeManagement(); createTuitionFee(); updateTuitionFee()","backend-api/src/controllers/tuitionFee.controller.js | backend-api/src/services/tuitionFee.service.js","createTuitionFee(); updateTuitionFee()","b32e457","Them/cap nhat hoc phi hien duoc lam qua tuition-fees CRUD."
