ID,Feature,Status,BackendFiles,FrontendFiles,RepresentativeCommits,GapNotes
1,GlobalErrorHandling (Tech),Done,"backend-api/src/middlewares/error.middleware.js | backend-api/src/controllers/errorLog.controller.js | backend-api/src/services/errorLog.service.js","frontend-web/src/pages/admin/ErrorLogsPage.jsx | frontend-web/src/services/errorLogService.js","c785c2d | 1bf2f46",""
2,View Majors,Done,"backend-api/src/routes/major.routes.js | backend-api/src/controllers/major.controller.js | backend-api/src/services/major.service.js","frontend-web/src/pages/admin/MajorManagement.jsx | frontend-web/src/services/majorService.js","dc1ebd8 | bcc8ebd",""
3,Create Majors,Done,"backend-api/src/controllers/major.controller.js | backend-api/src/services/major.service.js","frontend-web/src/pages/admin/MajorManagement.jsx","bcc8ebd | dc1ebd8",""
4,Update/Delete Majors,Done,"backend-api/src/routes/major.routes.js | backend-api/src/services/major.service.js","frontend-web/src/pages/admin/MajorManagement.jsx","bcc8ebd | dc1ebd8",""
5,Project Design,Partial,"backend-api/DATABASE_SCHEMA_FEATURES.drawio | backend-api/DATABASESeed.drawio.xml","PROJECT_PROTOTYPE.md | README.md","321d13e","Mo ta backlog trong anh khong ghi ro acceptance"
6,Home view,Done,"backend-api/src/services/student.service.js | backend-api/src/routes/student.routes.js","frontend-web/src/pages/student/StudentHome.jsx | frontend-web/src/components/layout/StudentLayout.jsx","1bf2f46 | ccc5d40",""
7,Search task,Partial,"backend-api/src/services/student.service.js","frontend-web/src/pages/student/StudentHome.jsx","1bf2f46","Can doi chieu them search theo dung backlog task"
8,Manage Student - View,Done,"backend-api/src/routes/student.routes.js | backend-api/src/controllers/student.controller.js | backend-api/src/services/student.service.js","frontend-web/src/pages/admin/StudentManagementPage.jsx","c547fca | 60e79dc",""
9,Manage Student - Create,Done,"backend-api/src/controllers/student.controller.js | backend-api/src/services/student.service.js","frontend-web/src/pages/admin/StudentManagementPage.jsx","c547fca | c4374cf",""
10,Manage Student - Update/Delete,Done,"backend-api/src/controllers/student.controller.js | backend-api/src/services/student.service.js","frontend-web/src/pages/admin/StudentManagementPage.jsx","60e79dc | c547fca",""
11,Manage Student - Search/Filter,Done,"backend-api/src/services/student.service.js","frontend-web/src/pages/admin/StudentManagementPage.jsx","60e79dc | c547fca",""
12,Configure Registration Period,Done,"backend-api/src/routes/registrationPeriod.routes.js | backend-api/src/controllers/registrationPeriod.controller.js | backend-api/src/services/registrationPeriod.service.js","frontend-web/src/pages/admin/RegistrationPeriodManagement.jsx | frontend-web/src/services/registrationPeriodService.js","7132377 | a0a5b73",""
13,Manage Application - View,Done,"backend-api/src/routes/request.routes.js | backend-api/src/controllers/request.controller.js | backend-api/src/services/request.service.js","frontend-web/src/pages/admin/AdminRequestsPage.jsx | frontend-web/src/pages/student/StudentRequestsPage.jsx","60e79dc | c785c2d",""
14,Manage Application - Create,Done,"backend-api/src/routes/request.routes.js | backend-api/src/controllers/request.controller.js | backend-api/src/services/request.service.js","frontend-web/src/pages/student/StudentRequestsPage.jsx | frontend-web/src/services/requestService.js","60e79dc | c785c2d","Upload drag-drop can doi chieu them theo backlog"
15,Register Course Wishlist,Done,"backend-api/src/modules/wishlist/wishlist.routes.js | backend-api/src/modules/wishlist/wishlist.controller.js | backend-api/src/modules/wishlist/wishlist.service.js","frontend-web/src/pages/student/CourseWishlistPage.jsx | frontend-web/src/services/wishlistService.js","a3a7f2a | aed91df | f9f505a",""
16,View Student Profile (Mobile),Done,"backend-api/src/services/student.service.js | backend-api/src/routes/student.routes.js","mobile-app/src/screens/student/ProfileScreen.js | mobile-app/src/services/studentService.js","c785c2d | c4374cf",""
17,View Status Application (Mobile),Done,"backend-api/src/routes/request.routes.js | backend-api/src/services/request.service.js","mobile-app/src/screens/student/ApplicationStatusScreen.js | mobile-app/src/services/requestService.js","c785c2d | c547fca",""
18,View Student Exam Schedules,Done,"backend-api/src/routes/exam.routes.js | backend-api/src/controllers/exam.controller.js | backend-api/src/services/exam.service.js","frontend-web/src/pages/student/ExamSchedulePage.jsx | mobile-app/src/screens/student/ExamScheduleScreen.js","18b6754 | f9f505a",""
19,View Attendance History,Done,"backend-api/src/routes/attendance.routes.js | backend-api/src/controllers/attendance.controller.js | backend-api/src/services/attendance.service.js","frontend-web/src/pages/student/AttendanceReportPage.jsx | mobile-app/src/screens/student/AttendanceReportScreen.js","9b00a9d | 441a0eb",""
20,Manage Assigned Classes,Partial,"backend-api/src/modules/lecturer/teachingSchedule.routes.js | backend-api/src/modules/lecturer/teachingSchedule.service.js | backend-api/src/services/classSection.service.js","frontend-web/src/pages/lecturer/LecturerClassStudentsPage.jsx | frontend-web/src/pages/lecturer/LecturerExamSchedulePage.jsx","73f86bb | 18b6754","Can doi chieu them tab nhap diem theo backlog"
21,Setup Academic Calendar,Done,"backend-api/src/modules/academicCalendar/academicCalendar.routes.js | backend-api/src/modules/academicCalendar/academicCalendar.controller.js | backend-api/src/modules/academicCalendar/academicCalendar.service.js","frontend-web/src/pages/admin/AcademicCalendarManagementPage.jsx | frontend-web/src/pages/student/AcademicCalendarPage.jsx","a0ddbe1 | 72b67d7",""
22,Login to Mobile App,Done,"backend-api/src/modules/auth/auth.routes.js | backend-api/src/modules/auth/auth.controller.js | backend-api/src/modules/auth/auth.service.js","mobile-app/src/screens/auth/LoginScreen.js | mobile-app/src/services/authService.js","4d073f5 | c785c2d",""
23,Logout from Mobile App,Done,"backend-api/src/modules/auth/auth.controller.js | backend-api/src/modules/auth/auth.service.js","mobile-app/src/stores/useAuthStore.js | mobile-app/src/hooks/useAuth.js","4d073f5 | c785c2d",""
24,View Exam Schedule (Mobile App),Done,"backend-api/src/routes/exam.routes.js | backend-api/src/services/exam.service.js","mobile-app/src/screens/student/ExamScheduleScreen.js | mobile-app/src/services/examService.js","18b6754 | f9f505a",""
25,View Attendance Report (Mobile App),Done,"backend-api/src/routes/attendance.routes.js | backend-api/src/services/attendance.service.js","mobile-app/src/screens/student/AttendanceReportScreen.js | mobile-app/src/services/attendanceService.js","9b00a9d | 441a0eb",""
