ID,Feature,BackendGitHubURL,FrontendGitHubURL,CommitGitHubURL,HowToUse
1,Login,"https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/modules/auth/auth.service.js#L423-L565","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/auth/LoginPage.jsx#L13-L50","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/525c8f39f025739e4d6ada664876195cfeb073e9 | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/2e1e96337d78db6fed654d240e88f2eb66584d79","Mo 2 link code de chi BE/FE, neu can lich su thi bam commit"
2,RefreshToken,"https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/modules/auth/auth.service.js#L575-L620","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/services/axiosClient.js#L47-L89","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/525c8f39f025739e4d6ada664876195cfeb073e9 | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/99ca7c5eb6e94a0b0acd5638c707acdb2f01d965","Mo BE token refresh, mo FE interceptor, roi mo commit"
3,ResetPassword,"https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/modules/auth/auth.service.js#L737-L835","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/auth/ResetPasswordPage.jsx#L23-L109","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/525c8f39f025739e4d6ada664876195cfeb073e9 | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/99ca7c5eb6e94a0b0acd5638c707acdb2f01d965","Mo code OTP/reset va chi phan UI resend OTP"
5,View actor,"https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/modules/actors/actors.service.js#L76-L92","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/admin/ActorsManagementPage.jsx#L60-L78","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/2e1e96337d78db6fed654d240e88f2eb66584d79","Mo role list o BE va phan load role/permission o FE"
6,Add/Update actor,"https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/modules/actors/actors.service.js#L94-L245","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/admin/ActorsManagementPage.jsx#L140-L218","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/2e1e96337d78db6fed654d240e88f2eb66584d79","Mo save role/save permission va commit"
38,Logout,"https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/modules/auth/auth.service.js#L690-L719","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/utils/authStorage.js","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/525c8f39f025739e4d6ada664876195cfeb073e9","Mo logout o service va file clear session"
42,Create Course Class,"https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/modules/classSection/classSection.service.js#L179-L241","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/admin/ClassManagement.jsx#L550-L600","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/25ed27f4fa028a6ccfb68e7a9da1327521cc9f7c","Mo createClassSection va modal tao lop"
43,View Class,"https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/modules/classSection/classSection.service.js#L35-L149","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/admin/ClassManagement.jsx#L238-L276","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/286b086f8ee9b45cad30d2af8aba1831783064ff","Mo listClasses o BE va fetch list o FE"
44,Update_Delete Class,"https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/modules/classSection/classSection.service.js#L244-L382","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/admin/ClassManagement.jsx#L626-L699","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/42a505601d79f6189ef02725dba16b6db3cf13c3","Mo update/delete va chi doan check enrollment count"
45,View Lecturer,"https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/modules/lecturer/lecturer.service.js#L106-L156","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/admin/LecturerManagement.jsx#L497-L571","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/25ed27f4fa028a6ccfb68e7a9da1327521cc9f7c","Mo list lecturer o BE va grid card o FE"
46,Create Lecturer,"https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/modules/lecturer/lecturer.service.js#L164-L285","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/admin/LecturerManagement.jsx#L309-L330","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/25ed27f4fa028a6ccfb68e7a9da1327521cc9f7c","Mo create lecturer transaction va submit form"
47,Update_Delete Lecturer,"https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/modules/lecturer/lecturer.service.js#L287-L366","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/admin/LecturerManagement.jsx#L358-L390","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/42a505601d79f6189ef02725dba16b6db3cf13c3","Mo update/toggle status; delete hien tai la soft delete"
