ID,Feature,BackendGitHubURL,FrontendGitHubURL,CommitGitHubURL,HowToUse
1,View Weekly Timetable,"https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/backend-api/src/controllers/schedule.controller.js#L8-L17 | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/backend-api/src/services/schedule.service.js#L859-L939","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/mobile-app/src/screens/student/ScheduleScreen.js#L251-L275 | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/mobile-app/src/services/scheduleService.js#L1-L5","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/6111ac71b00a43a7f0530d58eb327ec21d45012b","Mo ScheduleScreen truoc, chi loadSchedule(); neu bi hoi sau thi mo getMyWeekSchedule() o BE."
2,Create Email Templates,"https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/backend-api/src/controllers/emailTemplate.controller.js#L57-L59 | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/backend-api/src/services/emailTemplate.service.js#L594-L615","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/frontend-web/src/pages/admin/EmailTemplateManagementPage.jsx#L211-L238 | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/frontend-web/src/services/emailTemplateService.js#L12-L14","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/6111ac71b00a43a7f0530d58eb327ec21d45012b","Mo handleSubmit() nhanh create o FE, roi xuong createTemplate() o service BE."
3,View Email Templates,"https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/backend-api/src/controllers/emailTemplate.controller.js#L26-L47 | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/backend-api/src/services/emailTemplate.service.js#L540-L591","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/frontend-web/src/pages/admin/EmailTemplateManagementPage.jsx#L144-L198 | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/frontend-web/src/services/emailTemplateService.js#L4-L8","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/6111ac71b00a43a7f0530d58eb327ec21d45012b","Mo loadTemplates() va loadTemplateDetail() o FE; neu bi hoi sau thi mo listTemplates() va getTemplateById() o BE."
4,Update/Delete Email Templates,"https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/backend-api/src/controllers/emailTemplate.controller.js#L70-L89 | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/backend-api/src/services/emailTemplate.service.js#L618-L659","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/frontend-web/src/pages/admin/EmailTemplateManagementPage.jsx#L211-L257 | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/frontend-web/src/services/emailTemplateService.js#L16-L20","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/6111ac71b00a43a7f0530d58eb327ec21d45012b","Update dung handleSubmit() nhanh update; delete dung handleDelete(); BE la updateTemplate() va deleteTemplate()."
5,Submit Lecturer Evaluation,"https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/backend-api/src/controllers/feedback.controller.js#L12-L40 | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/backend-api/src/services/feedback.service.js#L59-L120 | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/backend-api/src/services/feedback.service.js#L469-L487","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/frontend-web/src/components/features/LecturerFeedbackPortal.jsx#L134-L313 | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/frontend-web/src/services/feedbackService.js#L45-L69 | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/frontend-web/src/pages/student/StudentFeedbackPage.jsx#L1-L3","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/6111ac71b00a43a7f0530d58eb327ec21d45012b","Mo LecturerFeedbackPortal truoc; chi loadBaseData(), loadClassDetails(), handleSubmit(); xuong BE la submitFeedback()/createFeedback()."
6,Track Class Performance,"https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/backend-api/src/controllers/attendance.controller.js#L14-L53 | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/backend-api/src/services/attendance.service.js#L1114-L1275","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/frontend-web/src/components/features/ClassPerformanceDashboard.jsx#L109-L171 | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/frontend-web/src/services/classPerformanceService.js#L1-L5 | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/frontend-web/src/pages/admin/ClassPerformancePage.jsx#L1-L4 | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/6111ac71b00a43a7f0530d58eb327ec21d45012b/frontend-web/src/pages/lecturer/LecturerClassPerformancePage.jsx#L1-L4","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/6111ac71b00a43a7f0530d58eb327ec21d45012b","Mo ClassPerformanceDashboard truoc; chi loadClasses() va loadPerformance(); neu bi hoi sau thi mo attendance service."
11,SetupSocketIO(Tech),"https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9/backend-api/src/configs/socket.config.js | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9/backend-api/src/middlewares/socket.middleware.js","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9/frontend-web/src/contexts/SocketContext.jsx | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9/frontend-web/src/main.jsx | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9/mobile-app/src/contexts/SocketContext.js | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9/mobile-app/App.js","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9","Mo initializeSocketIO o BE va SocketProvider o FE; neu bi hoi JWT thi chi socketAuthMiddleware + auth.token handshake."
12,CloudinaryService (Tech),"https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9/backend-api/src/external/cloudinary.provider.js","Khong co (BE-only)","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9","Mo cloudinary.provider.js va chi uploadImage(), deleteImage(), uploadFile()."
13,SeedMasterData (Tech),"https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9/backend-api/src/database/seeds/index.js | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9/backend-api/src/database/seeds/seedSEK26Curriculum.js","Khong co (BE-only)","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9","Mo file seed tong truoc; neu can chi ham seedSubjects(), seedRooms(), seedTeachers(), seedStudents()."
17,Filter/sort,"https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9/backend-api/src/controllers/subject.controller.js | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9/backend-api/src/services/subject.service.js","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9/frontend-web/src/pages/admin/SubjectManagement.jsx | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9/frontend-web/src/services/subjectService.js","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9","Mo SubjectManagement.jsx, chi fetchSubjects()/applyFilters(); neu bi hoi sau thi mo getSubjects() o BE."
23,View ConfigureTuitionFees,"https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9/backend-api/src/controllers/tuitionFee.controller.js | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9/backend-api/src/services/tuitionFee.service.js","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9/frontend-web/src/pages/admin/TuitionFeeManagement.jsx | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9/frontend-web/src/services/tuitionFeeService.js","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9","Repo hien tai map feature nay vao module tuition-fees; mo getTuitionFees truoc."
24,Add ConfigureTuitionFees,"https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9/backend-api/src/controllers/tuitionFee.controller.js | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9/backend-api/src/services/tuitionFee.service.js","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9/frontend-web/src/pages/admin/TuitionFeeManagement.jsx | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9/frontend-web/src/services/tuitionFeeService.js","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/b32e45721da557ce9da70a8eb8c2ae6d70cbecc9","Chi createTuitionFee()/updateTuitionFee() o BE va service FE tuong ung."
