"ID","Feature","BackendGitHubURL","FrontendGitHubURL","CommitGitHubURL","HowToUse"
"1","GlobalErrorHandling (Tech)","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/middlewares/error.middleware.js#L1-L53","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/admin/ErrorLogsPage.jsx#L47-L119","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/c785c2d","Mo middleware error + trang ErrorLogs, sau do mo commit"
"2","View Majors","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/services/major.service.js#L1-L51","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/admin/MajorManagement.jsx#L47-L80","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/dc1ebd8 | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/bcc8ebd","Mo list major tren BE va bang major tren FE"
"3","Create Majors","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/controllers/major.controller.js#L35-L88","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/admin/MajorManagement.jsx#L150-L170","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/bcc8ebd","Mo API tao major va form submit FE"
"4","Update_Delete Majors","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/routes/major.routes.js#L1-L52","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/admin/MajorManagement.jsx#L150-L188","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/bcc8ebd","Mo route update/delete va thao tac sua/xoa FE"
"5","Project Design","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/DATABASE_SCHEMA_FEATURES.drawio#L1-L54","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/PROJECT_PROTOTYPE.md#L99-L130","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/321d13e","Mo schema/prototype de doi chieu pham vi"
"6","Home view","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/services/student.service.js#L1-L54","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/student/StudentHome.jsx#L53-L120","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/1bf2f46","Mo StudentHome va phan du lieu tong hop tu service"
"7","Search task","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/routes/student.routes.js#L6-L59","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/student/StudentHome.jsx#L220-L304","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/1bf2f46","Mo phan search tren home va commit lien quan"
"8","Manage Student - View","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/services/student.service.js#L669-L722","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/admin/StudentManagementPage.jsx#L214-L252","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/c547fca | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/60e79dc","Mo list student + filter/pagination"
"9","Manage Student - Create","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/controllers/student.controller.js#L29-L82","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/admin/StudentManagementPage.jsx#L322-L336","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/c547fca","Mo API create student va modal tao moi"
"10","Manage Student - Update_Delete","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/routes/student.routes.js#L139-L192","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/admin/StudentManagementPage.jsx#L342-L361","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/60e79dc","Mo API update/delete va thao tac FE"
"11","Manage Student - Search_Filter","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/controllers/student.controller.js#L4-L57","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/admin/StudentManagementPage.jsx#L166-L267","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/60e79dc","Mo query filter MSSV/CCCD va bo loc FE"
"12","Configure Registration Period","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/services/registrationPeriod.service.js#L83-L136","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/admin/RegistrationPeriodManagement.jsx#L131-L214","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/7132377","Mo CRUD registration period + cron job"
"13","Manage Application - View","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/services/request.service.js#L27-L80","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/admin/AdminRequestsPage.jsx#L76-L101","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/60e79dc","Mo dashboard don va bo loc status"
"14","Manage Application - Create","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/controllers/request.controller.js#L1-L49","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/student/StudentRequestsPage.jsx#L323-L370","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/60e79dc","Mo API tao request + upload minh chung"
"15","Register Course Wishlist","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/modules/wishlist/wishlist.service.js#L1-L46","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/student/CourseWishlistPage.jsx#L207-L246","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/a3a7f2a | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/aed91df","Mo service wishlist va trang student wishlist"
"16","View Student Profile (Mobile)","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/services/student.service.js#L1-L54","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/mobile-app/src/screens/student/ProfileScreen.js#L57-L90","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/c785c2d","Mo API profile va man hinh ProfileScreen"
"17","View Status Application (Mobile)","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/routes/request.routes.js#L1-L47","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/mobile-app/src/screens/student/ApplicationStatusScreen.js#L77-L115","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/c785c2d","Mo route request va screen trang thai don"
"18","View Student Exam Schedules","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/services/exam.service.js#L1-L46","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/student/ExamSchedulePage.jsx#L39-L50","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/18b6754","Mo logic lich thi va trang exam schedule"
"19","View Attendance History","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/services/attendance.service.js#L1-L49","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/student/AttendanceReportPage.jsx#L81-L117","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/9b00a9d","Mo tong hop diem danh theo lop"
"20","Manage Assigned Classes","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/modules/lecturer/teachingSchedule.service.js#L1-L46","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/lecturer/LecturerClassStudentsPage.jsx#L22-L66","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/73f86bb","Mo danh sach lop phu trach va thong tin sinh vien"
"21","Setup Academic Calendar","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/modules/academicCalendar/academicCalendar.service.js#L1-L46","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/frontend-web/src/pages/admin/AcademicCalendarManagementPage.jsx#L59-L148","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/a0ddbe1 | https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/72b67d7","Mo CRUD su kien hoc vu va timeline"
"22","Login to Mobile App","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/modules/auth/auth.service.js#L307-L360","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/mobile-app/src/screens/auth/LoginScreen.js#L63-L111","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/4d073f5","Mo auth service va mobile LoginScreen"
"23","Logout from Mobile App","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/modules/auth/auth.controller.js#L67-L120","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/mobile-app/src/stores/useAuthStore.js#L1-L12","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/4d073f5","Mo endpoint/logout flow va clear store"
"24","View Exam Schedule (Mobile App)","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/routes/exam.routes.js#L1-L47","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/mobile-app/src/screens/student/ExamScheduleScreen.js#L89-L113","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/18b6754","Mo API exam va screen lich thi mobile"
"25","View Attendance Report (Mobile App)","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/routes/attendance.routes.js#L1-L47","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/mobile-app/src/screens/student/AttendanceReportScreen.js#L121-L143","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/9b00a9d","Mo attendance summary mobile"
"26","View Attendance Details (Mobile App)","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/backend-api/src/controllers/attendance.controller.js#L1-L46","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/blob/fix/mobile-feedback-sync/mobile-app/src/screens/student/AttendanceReportScreen.js#L300-L360","https://github.com/oanhntkce181400-poon/WDP391_SE1808_Group02_SSMS/commit/441a0eb","Mo phan chi tiet attendance trong cung screen"
