No,Function,RefType,File,Lines,WhyItMatters,CommitHash,CommitSubject
1,View Notifications,UI Load,mobile-app/src/screens/student/NotificationListScreen.js,94-104,"Load danh sach thong bao bang announcementService.getActiveAnnouncements(page=1, limit=20)",ee290983257dbd3a66d0272e74ac417da75dcf81,feat: update finance and notification flows
1,View Notifications,Realtime Refresh,mobile-app/src/screens/student/NotificationListScreen.js,120-133,"Lang nghe socket event notification va announcement-created de refresh danh sach",ee290983257dbd3a66d0272e74ac417da75dcf81,feat: update finance and notification flows
1,View Notifications,Mobile API,mobile-app/src/services/announcementService.js,4-5,"Map sang GET /announcements/active",ee290983257dbd3a66d0272e74ac417da75dcf81,feat: update finance and notification flows
1,View Notifications,Backend API,backend-api/src/controllers/announcement.controller.js,240-248,"API lay announcement active cho student",bdc619855fbcd826e8d78a576582400e0de4dfbb,huypvq: features of srpint 2
2,View Notification Details,UI Detail Load,mobile-app/src/screens/student/NotificationDetailScreen.js,62-77,"Load chi tiet theo announcementId",ee290983257dbd3a66d0272e74ac417da75dcf81,feat: update finance and notification flows
2,View Notification Details,Attachment Open,mobile-app/src/screens/student/NotificationDetailScreen.js,49-54,"Mo attachment URL tu man hinh chi tiet",ee290983257dbd3a66d0272e74ac417da75dcf81,feat: update finance and notification flows
2,View Notification Details,Mobile API,mobile-app/src/services/announcementService.js,8-9,"Map sang GET /announcements/:id",ee290983257dbd3a66d0272e74ac417da75dcf81,feat: update finance and notification flows
2,View Notification Details,Backend API,backend-api/src/controllers/announcement.controller.js,128-138,"API lay chi tiet 1 announcement",bdc619855fbcd826e8d78a576582400e0de4dfbb,huypvq: features of srpint 2
3,View Application Receives New Notification,Backend Emit,backend-api/src/controllers/announcement.controller.js,49-69,"Sau khi tao announcement thi emit socket event va goi firebase push",20a4b6a190c64ba864288b2b59396ba8b33735ab,wip: save local changes before merging main
3,View Application Receives New Notification,Firebase Push,backend-api/src/services/firebasePush.service.js,149-170,"Tao payload push cho screen notification-detail",ee290983257dbd3a66d0272e74ac417da75dcf81,feat: update finance and notification flows
3,View Application Receives New Notification,Mobile Listener,mobile-app/src/screens/student/NotificationListScreen.js,120-133,"Mobile nhan event realtime va tu refresh danh sach",ee290983257dbd3a66d0272e74ac417da75dcf81,feat: update finance and notification flows
3,View Application Receives New Notification,Push Token Route,backend-api/src/routes/pushToken.routes.js,9-10,"API dang ky/huy push token cho mobile",ee290983257dbd3a66d0272e74ac417da75dcf81,feat: update finance and notification flows
3,View Application Receives New Notification,Push Token Controller,backend-api/src/controllers/pushToken.controller.js,3-20,"Luu push token de gui firebase multicast",ee290983257dbd3a66d0272e74ac417da75dcf81,feat: update finance and notification flows
4,Send Automated Emails,Settings Check,backend-api/src/services/notificationEmail.service.js,23-53,"Kiem tra emailNotificationsEnabled truoc khi gui email",ee290983257dbd3a66d0272e74ac417da75dcf81,feat: update finance and notification flows
4,Send Automated Emails,Template Send,backend-api/src/services/notificationEmail.service.js,45-62,"Render template roi goi mailer.sendMail",ee290983257dbd3a66d0272e74ac417da75dcf81,feat: update finance and notification flows
4,Send Automated Emails,Request Status Template Call,backend-api/src/services/notificationEmail.service.js,81-102,"Template REQUEST_STATUS_UPDATED duoc dong goi tai day",ee290983257dbd3a66d0272e74ac417da75dcf81,feat: update finance and notification flows
4,Send Automated Emails,Admin Toggle UI,frontend-web/src/pages/admin/GeneralSettingsPage.jsx,"21,44,226-232","Checkbox bat/tat email notifications o trang General Settings",ee290983257dbd3a66d0272e74ac417da75dcf81,feat: update finance and notification flows
4,Send Automated Emails,Template Definition,backend-api/src/services/emailTemplate.service.js,162-185,"Dinh nghia noi dung template REQUEST_STATUS_UPDATED",6111ac71b00a43a7f0530d58eb327ec21d45012b,feat: merge main and complete schedule feedback performance
4,Send Automated Emails,SMTP Send,backend-api/src/external/mailer.js,94-120,"Noi goi transporter.sendMail va fallback neu chua config SMTP",fb6d143ae7f0dd8e4278aa7503ca505df7137985,huypvq sprint2
5,Notify Course Registration Opening,Backend Broadcast,backend-api/src/controllers/registrationPeriod.controller.js,191-207,"Khi doi status period thi emit registration-period-updated va notification cho student",20a4b6a190c64ba864288b2b59396ba8b33735ab,wip: save local changes before merging main
5,Notify Course Registration Opening,Realtime Payload Builder,backend-api/src/services/realtimeNotification.service.js,1-35,"Build message thong bao dot dang ky mo/dong/cap nhat",20a4b6a190c64ba864288b2b59396ba8b33735ab,wip: save local changes before merging main
5,Notify Course Registration Opening,Web Notification Hook,frontend-web/src/hooks/useStudentRealtimeNotifications.js,264-271,"Web hook lang nghe registration-period-updated",20a4b6a190c64ba864288b2b59396ba8b33735ab,wip: save local changes before merging main
5,Notify Course Registration Opening,Student Registration Page,frontend-web/src/pages/student/ClassRegistrationPage.jsx,160-169,"Trang dang ky hoc phan reload khi nhan event registration-period-updated",20a4b6a190c64ba864288b2b59396ba8b33735ab,wip: save local changes before merging main
